30
8
1
2016-04-08	15597.040039	16027.629883	15471.799805	15821.519531	171500	15821.519531
2016-04-11	15761.570312	15778.740234	15525.490234	15751.129883	126000	15751.129883
2016-04-12	15719.240234	15963.030273	15693.610352	15928.790039	0	15928.790039
2016-04-13	16142.709961	16405.589844	16132.230469	16381.219727	154000	16381.219727
2016-04-14	16629.830078	16911.050781	16602.169922	16911.050781	170100	16911.050781
2016-04-15	16720.390625	16928.669922	16720.390625	16848.029297	129300	16848.029297
2016-04-18	16521.25	16526.900391	16254.200195	16275.950195	0	16275.950195
2016-04-19	16582.660156	16900.330078	16570.5	16874.439453	141300	16874.439453
2016-04-20	17053.830078	17099.359375	16870.730469	16906.539062	139600	16906.539062
2016-04-21	17187.269531	17381.699219	17144.529297	17363.619141	160900	17363.619141
2016-04-22	17220.470703	17572.490234	17192.390625	17572.490234	221500	17572.490234
2016-04-25	17613.560547	17613.560547	17403.580078	17439.300781	166500	17439.300781
2016-04-26	17358.560547	17426.019531	17200.5	17353.279297	156800	17353.279297
2016-04-27	17369.679688	17417.539062	17230.230469	17290.490234	136700	17290.490234
2016-04-28	17438.990234	17572.269531	16652.740234	16666.050781	226100	16666.050781
2016-05-02	16357.099609	16357.099609	15975.469727	16147.379883	174500	16147.379883
2016-05-06	16212.669922	16271.610352	15989.349609	16106.719727	148100	16106.719727
2016-05-09	16226.589844	16292.860352	16159.30957	16216.030273	0	16216.030273
2016-05-10	16307.5	16587.630859	16229.150391	16565.189453	0	16565.189453
2016-05-11	16736.720703	16814.640625	16536.609375	16579.009766	139200	16579.009766
2016-05-12	16459.689453	16658.070312	16374.589844	16646.339844	134500	16646.339844
2016-05-13	16804.169922	16804.169922	16400.869141	16412.210938	166500	16412.210938
2016-05-16	16391.919922	16632.619141	16391.919922	16466.400391	121300	16466.400391
2016-05-17	16618.949219	16655.890625	16509.310547	16652.800781	114100	16652.800781
2016-05-18	16611.400391	16795.470703	16513.169922	16644.689453	160100	16644.689453
2016-05-19	16807.460938	16841.039062	16590.160156	16646.660156	0	16646.660156
2016-05-20	16594.990234	16770.869141	16548.339844	16736.349609	122500	16736.349609
2016-05-23	16671.279297	16691.5	16417.839844	16654.599609	0	16654.599609
2016-05-24	16605.039062	16605.039062	16471.369141	16498.759766	106400	16498.759766
2016-05-25	16764.349609	16806.029297	16731.119141	16757.349609	104200	16757.349609
2016-05-26	16927.689453	16957.560547	16743.169922	16772.460938	118300	16772.460938
